id,Project,Size in U,Units,Coût Total (USD),Is_Commercial,Incl_Launch,Année (Launch),Mission_Type,Organization,Manufactured (AIVT) by,Complexity_Score,Orbit_Type
0,AeroCube-15,3.0,1,4.1,0,1,2022,Technology Demo,Aerospace Corporation,In-house,0.8,LEO
1,AISTECHSAT (DANU) 2U,2.0,1,0.23,1,0,2019,Earth Observation,Aistech,GomSpace,1.5,SSO
2,Amber,6.0,2,5.75,1,1,2024,Communications,Horizon Technologies,AAC Clyde Space,1.3,SSO
3,IOD Mission 3,6.0,4,2.145,1,0,2023,Technology Demo,Horizon Technologies,AAC Clyde Space,1.0,LEO
4,BlackCAT,6.0,1,5.8,1,0,2024,Science/Astronomy,Pennsylvania State University (Penn State),NanoAvionics,2.0,LEO
5,BRO,6.0,6,4.2,1,0,2019,Military/Defense,Unseenlabs,GomSpace,1.7,SSO
6,Buccaneer,6.0,1,2.5,1,0,2017,Military/Defense,Australian Defence Science and Technology Organisation,Inovor,2.2,LEO
7,CTOS,8.0,1,2.5,0,0,2024,Earth Observation,Galaxia,In-house,1.3,SSO
8,CatSat,6.0,1,0.45,0,0,2024,Technology Demo,University of Arizona,In-house,0.8,SSO
9,Exoterra CubeSat,12.0,1,2.0,0,0,2024,Technology Demo,Exoterra Resource,In-house,0.8,LEO
10,CUTE,6.0,1,5.5,0,1,2021,Science/Astronomy,University of Colorado Boulder,In-house,1.8,LEO
11,DAILI,6.0,1,3.2,0,0,2022,Science/Astronomy,Aerospace Corporation,In-house,1.8,LEO
12,AISTECHSAT (DANU) 2U,2.0,10,1.57,1,0,2021,Earth Observation,Aistech,GomSpace,1.5,SSO
13,Deorbitsail,3.0,1,3.2,1,1,2015,Technology Demo,EU FP7 consortium,SSTL,1.0,LEO
14,Diamond 6U (Sky and Space Global),6.0,8,5.95,1,0,2019,Communications,Sky and Space,GomSpace,1.3,LEO
15,DOVER,3.0,1,,1,0,2023,Technology Demo,RHEA Group,Open Cosmos,1.0,SSO
16,DUPLEX,6.0,1,1.7,1,0,2023,Technology Demo,CU Aerospace,NearSpace Launch,1.0,LEO
17,E.T.PACK DMM & EEM,12.0,1,5.5,0,0,2024,Technology Demo,Universidad Carlos III de Madrid,?,1.0,LEO
18,Edison,8.0,1,0.96,1,1,2024,Technology Demo,Space Inventor,Space Inventor,1.0,SSO
19,EIRSAT-1,2.0,1,1.5,0,0,2023,Science/Astronomy,University College Dublin,In-house,1.8,LEO
20,EPICHyper,6.0,2,12.1,1,0,2024,Earth Observation,AAC Clyde Space,AAC Clyde Space,1.5,SSO
21,ET-SMART-RSS,6.0,1,1.5,1,0,2020,Earth Observation,Ethiopian Space Science & Technology Institute (ESSTI),Smart Satellite,1.3,SSO
22,FACSAT,6.0,1,0.77,1,0,2018,Earth Observation,Colombian Air Force,GomSpace,2.0,SSO
23,Faraday-1,6.0,1,6.664,0,0,2020,Technology Demo,In-Space Missions,In-house,0.8,LEO
24,GEMS (Orbital Micro Systems),6.0,1,0.785,1,0,2019,Earth Observation,Orbital Micro Systems,AAC Clyde Space,1.5,SSO
25,GOMX-5,8.0,1,2.0,1,0,2024,Technology Demo,GomSpace,GomSpace,1.0,LEO
26,HAMMER (IOD6),6.0,1,4.08,1,0,2024,Earth Observation,Open Cosmos,Open Cosmos,1.5,SSO
27,Hellenic Space Dawn,8.0,1,4.28,0,0,2026,Earth Observation,EMTech Space,?,1.5,SSO
28,HERMES-SP,3.0,6,3.95,0,1,2025,Science/Astronomy,INAF (National Institute for Astrophysics),Politecnico di Milano,1.8,LEO
29,Hyperion 1,12.0,1,3.85,1,0,2023,Earth Observation,Inovor,Inovor,1.5,SSO
30,Infante,16.0,1,10.0,0,0,2018,Earth Observation,Tekever,In-house,1.3,SSO
31,InspireSAT,12.0,1,2.15,0,0,2022,Science/Astronomy,StarSpec,?,2.0,LEO
32,Intuition-1,6.0,1,1.85,1,1,2023,Earth Observation,KP Labs,AAC Clyde Space,1.5,SSO
33,Io-1,4.0,1,2.5,1,1,2026,Science/Astronomy,Iota Technology,AAC Clyde Space,2.0,LEO
34,Startical,16.0,3,15.66,1,1,2025,Communications,Startical,GomSpace,1.3,LEO
35,GEMS (Orbital Micro Systems),3.0,4,1.88,1,0,2019,Earth Observation,Orbital Micro Systems,AAC Clyde Space,1.5,SSO
36,IonSat,6.0,1,1.624,0,1,2024,Technology Demo,Ecole Polytechnique,In-house,0.8,LEO
37,Juventas,6.0,1,13.0,1,0,2024,Deep Space,ESA (European Space Agency),GomSpace,3.5,Deep Space
38,Kelpie,3.0,2,5.9,1,1,2023,Communications,AAC Clyde Space,AAC Clyde Space,1.3,SSO
39,TARS (Kepler),6.0,1,0.88,1,1,2022,Communications,Kepler Communications,AAC Clyde Space,1.3,SSO
40,Kleos Space - Polar Vigilance Mission (KSF1),6.0,4,2.5,1,0,2021,Military/Defense,Kleos Space,ISISpace,1.7,SSO
41,Kleos Scouting Mission (KSM1),6.0,4,2.83,1,0,2019,Military/Defense,Kleos Space,GomSpace,1.7,LEO
42,KSS-BOBCAT,6.0,1,1.6,1,0,2022,Technology Demo,Kawa Space,AAC Clyde Space,1.0,LEO
43,KuwaitSat- 1,2.0,1,0.97,1,0,2023,Earth Observation,Kuwait University,NanoAvionics,1.5,SSO
44,LLITED,1.5,2,2.52,0,1,2022,Science/Astronomy,Aerospace Corporation,In-house,1.8,LEO
45,Lusiada (LusoSpace),8.0,11,5.37,0,0,2024,Communications,LusoSpace,In-house,1.1,LEO
46,M-ARGO,12.0,1,0.45,1,0,2024,Deep Space,ESA (European Space Agency),GomSpace,3.5,Deep Space
47,MACSAT,6.0,1,2.4,1,0,2023,Communications,OQ Technology,NanoAvionics,1.3,LEO
48,MANTIS (US),16.0,1,8.5,0,0,2024,Earth Observation,University of Colorado Boulder,In-house,1.3,SSO
49,MarCO,6.0,2,18.5,0,1,2018,Deep Space,NASA Jet Propulsion Laboratory,In-house,3.5,Deep Space
50,MH-1 (AEROS),3.0,1,3.02,1,0,2024,Earth Observation,CEiiA,?,1.5,SSO
51,MIR-SAT1,1.0,1,0.405,1,1,2021,Technology Demo,Mauritius Research Council,AAC Clyde Space,1.0,LEO
52,MOBIUS,3.0,1,2.8,0,0,2024,Technology Demo,Galaxia,In-house,0.8,LEO
53,NanoMagSat,16.0,1,37.37,1,0,2026,Science/Astronomy,Open Cosmos,Open Cosmos,2.0,LEO
54,NARSSCube-2,1.0,1,0.06,0,0,2019,Earth Observation,National Authority for Remote Sensing and Space Sciences (NARSS),In-house,1.3,SSO
55,NEPTUNO,3.0,1,2.8,0,1,2024,Earth Observation,Elecnor Deimos,In-house,1.3,LEO
56,NSLSat,6.0,1,1.5,1,1,2019,Communications,BeetleSat (NSLComm),AAC Clyde Space,1.8,LEO
57,OPS-SAT,3.0,1,2.66,0,0,2019,Technology Demo,ESA (European Space Agency),Graz University of Technology,1.5,LEO
58,OPS-SAT VOLT,16.0,1,2.5,1,0,2025,Technology Demo,Craft Prospect,AAC Clyde Space,1.0,LEO
59,ORCA-8,6.0,1,4.5,0,0,2024,Technology Demo,DARPA,In-house,1.5,LEO
60,Outernet 1U,1.0,3,1.25,1,0,2017,Communications,Outernet,AAC Clyde Space,1.3,LEO
61,PEARLS (Sky and Space Global),8.0,8,5.95,1,0,2025,Communications,Sky and Space,GomSpace,1.3,SSO
62,Phasma,3.0,1,2.16,0,0,2024,Military/Defense,Libre Space Foundation,In-house,1.5,LEO
63,PIAST,6.0,1,18.0,1,0,2024,Military/Defense,Poland’s Armed Forces,Creotech,1.7,SSO
64,PIXL-1,3.0,1,0.56,1,0,2021,Technology Demo,DLR (German Aerospace Center),GomSpace,1.5,SSO
65,PolSIR,12.0,1,37.0,1,0,2024,Science/Astronomy,Vanderbilt University,Blue Canyon,1.8,LEO
66,PREFIRE,6.0,1,33.0,0,0,2024,Science/Astronomy,University of Wisconsin,?,1.8,SSO
