Project,Project Link,Size,Organization,Manufactured (AIVT) by,Costs,Source,Funded primarily by
AeroCube-15,../sat/aerocube-15.html,3U,Aerospace Corporation,In-house,$4.1 million for the whole program.,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4718&context=smallsat,US Air Force Space and Missile Systems Center
AISTECHSAT (DANU) 2U,../sat/aistechsat.html,2U,Aistech,GomSpace,"$230,000 for the single CubeSat platform",https://gomspace.com/news/aistech-places-order-at-the-sum-of-200000-wit.aspx,
Amber,../sat/amber.html,6U,Horizon Technologies,AAC Clyde Space,"£4.6 million for a full turn-key solution including two satellites, launches, operations and data delivery.",https://horizontechnologies.eu/aac-clyde-space-wins-4-6-mgbp-order-from-horizon-technologies/,
IOD Mission 3,../sat/iod-3.html,6U,Horizon Technologies,AAC Clyde Space,"$1,880,000 for four 3U IOD Mission platforms and $265,000 to upgrade this into 6U",https://www.clyde.space/latest/56-clyde-space-catapults-to-more-success,UK Satellite Applications Catapult
BlackCAT,../sat/blackcat.html,6U,Pennsylvania State University (Penn State),NanoAvionics,$5.8M,https://www.psu.edu/news/research/story/penn-state-astrophysicist-lead-58-million-nasa-cubesat-mission/,
BRO,../sat/bro-unseenlabs.html,6U,Unseenlabs,GomSpace,43 MSEK or $4.2M for 6 satellites.,https://gomspace.com/news/gomspace-signs-contract-with-unseenlabs-to-de.aspx,
Buccaneer,../sat/buccaneer.html,6U,Australian Defence Science and Technology Organisation,Inovor,$2.5M,https://www.criticalcomms.com.au/content/research/news/inovor-to-deliver-satellite-bus-for-buccaneer-project-1333916370#axzz66zQjL8U6,Australian Defence Force
CTOS,../sat/ctos.html,8U,Galaxia,In-house,$2.5 million,https://spaceq.ca/galaxia-lands-2-5m-drdc-contract-to-build-tactical-leo-satellite/,Defence Research and Development Canada (DRDC)
CatSat,../sat/catsat.html,6U,University of Arizona,In-house,$450000 for the GomSpace 6U platform.,https://gomspace.com/news/gomspace-leads-development-of-a-teaming-agreement-.aspx,
Exoterra CubeSat,../sat/exoterra-cubesat.html,12U,Exoterra Resource,In-house?,$2 million from NASA Tipping Point.,https://www.nasa.gov/press-release/nasa-announces-new-tipping-point-partnerships-for-moon-and-mars-technologies,NASA
